Date,AKRA.JK,ANTM.JK,ASII.JK,BBCA.JK,BBNI.JK,BBRI.JK,BBTN.JK,BJBR.JK,BMRI.JK,BTPS.JK,DSNG.JK,ICBP.JK,INCO.JK,INDF.JK,INTP.JK,JPFA.JK,JSMR.JK,KLBF.JK,SMGR.JK,TLKM.JK,UNTR.JK,UNVR.JK
2022-06-09,984.36,2126.7,5758.81,7090.09,3968.51,3881.25,1342.99,1242.06,3812.93,2797.75,507.63,8118.65,7549.14,6096.06,9228.56,1305.18,3835.31,1573.71,6550.46,3662.65,22479.25,4231.89
2022-06-10,1005.39,2029.22,5538.86,6948.29,3796.97,3803.45,1289.27,1225.04,3699.78,2843.17,484.77,8000.99,7302.44,6096.06,9131.42,1296.06,3815.89,1564.09,6456.89,3635.52,22340.49,4170.43
2022-06-13,975.95,2002.64,5618.84,6948.29,3774.09,3751.59,1214.89,1199.52,3665.84,2797.75,475.62,8095.12,7105.07,6051.72,8888.56,1264.11,3699.37,1564.09,6129.36,3689.78,21282.44,4117.75
2022-06-14,971.74,1931.75,5578.85,6995.56,3785.53,3768.87,1231.42,1225.04,3711.1,2734.16,471.05,8142.19,7105.07,6096.06,8961.42,1277.8,3767.34,1564.09,6386.7,3716.91,21889.51,4161.65
2022-06-15,992.77,1922.89,5358.89,6924.65,3785.53,3846.67,1231.42,1208.03,3756.36,2661.49,455.5,8095.12,6833.7,6029.56,8839.99,1264.11,3641.12,1554.46,6456.89,3671.69,20640.67,4214.33
2022-06-16,980.15,1905.17,5478.87,7160.99,3774.09,3829.38,1239.68,1203.78,3790.3,2688.75,457.33,8165.72,7006.39,6029.56,8937.13,1277.8,3592.57,1564.09,6456.89,3653.61,20814.12,4214.33
2022-06-17,929.67,1869.72,5558.85,7090.09,3739.78,3777.52,1223.15,1182.51,3654.53,2652.41,448.18,8048.06,6809.03,6051.72,8985.7,1273.24,3679.95,1564.09,6386.7,3725.96,19981.55,4082.63
2022-06-20,883.4,1834.28,5538.86,7208.26,3716.91,3803.45,1210.75,1169.75,3733.73,2688.75,455.5,8448.11,6562.33,6118.23,8937.13,1282.37,3582.86,1559.28,6644.04,3653.61,20120.31,4411.87
2022-06-21,904.43,1905.17,5478.87,7231.89,3865.59,3786.16,1227.28,1182.51,3733.73,2706.91,471.05,8612.83,6957.05,6096.06,9131.42,1328.0,3582.86,1564.09,6690.83,3716.91,20224.38,4433.82
2022-06-22,896.02,1789.97,5438.88,7090.09,3728.35,3734.3,1231.42,1186.76,3688.47,2643.33,455.5,8683.43,6661.01,6184.73,9009.99,1332.56,3563.44,1564.09,6690.83,3662.65,20259.07,4293.35
2022-06-23,896.02,1741.23,5498.86,7113.72,3728.35,3725.65,1223.15,1178.25,3688.47,2670.58,461.9,8777.56,6315.62,6317.73,9228.56,1373.64,3553.73,1636.28,6831.2,3762.13,20311.11,4354.8
2022-06-24,891.81,1745.66,5338.9,7066.46,3728.35,3751.59,1227.28,1186.76,3756.36,2679.66,446.35,8871.69,6216.94,6273.4,9495.7,1410.15,3592.57,1645.9,7135.33,3753.09,20311.11,4456.62
2022-06-27,900.23,1674.77,5318.9,6948.29,3682.6,3699.72,1239.68,1174.0,3722.41,2679.66,446.35,8942.29,5822.21,6384.24,9471.41,1428.4,3631.41,1631.47,6854.59,3680.74,20259.07,4447.69
2022-06-28,887.61,1652.62,5358.89,6901.02,3694.04,3717.01,1239.68,1186.76,3677.16,2670.58,444.52,8942.29,5748.2,6428.57,9349.99,1423.84,3602.28,1636.28,6644.04,3644.56,20675.36,4510.21
